--------- beginning of main
--------- beginning of system
05-27 15:46:13.034  8791  8791 I CT_REPRO: E02_state_inference_oracle | 1779867973034 | 340 | TAB_SHOWN | 5 | http://198.18.0.1:8000/download?trial=download_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1565032}
05-27 15:46:13.103  8791  8791 I CT_REPRO: E02_state_inference_oracle | 1779867973103 | 409 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/download?trial=download_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1565089}
05-27 15:46:13.206  8791  8791 I CT_REPRO: E02_state_inference_oracle | 1779867973206 | 512 | NAVIGATION_ABORTED | 4 | http://198.18.0.1:8000/download?trial=download_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1565206}
05-27 15:46:22.649  8905  8905 I CT_REPRO: E02_state_inference_oracle | 1779867982649 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 15:46:22.692  8905  8905 I CT_REPRO: E02_state_inference_oracle | 1779867982692 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 15:46:24.114  8905  8905 I CT_REPRO: E02_state_inference_oracle | 1779867984113 | 1 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 15:46:24.486  8905  8905 I CT_REPRO: E02_state_inference_oracle | 1779867984485 | 373 | TAB_SHOWN | 5 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1576471}
05-27 15:46:24.547  8905  8905 I CT_REPRO: E02_state_inference_oracle | 1779867984547 | 435 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1576546}
05-27 15:46:24.661  8905  8905 I CT_REPRO: E02_state_inference_oracle | 1779867984661 | 549 | NAVIGATION_ABORTED | 4 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1576661}
05-27 15:46:34.472  9028  9028 I CT_REPRO: E02_state_inference_oracle | 1779867994471 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 15:46:34.589  9028  9028 I CT_REPRO: E02_state_inference_oracle | 1779867994589 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 15:46:35.893  9028  9028 I CT_REPRO: E02_state_inference_oracle | 1779867995893 | 1 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 15:46:36.353  9028  9028 I CT_REPRO: E02_state_inference_oracle | 1779867996353 | 461 | TAB_SHOWN | 5 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1588352}
05-27 15:46:36.408  9028  9028 I CT_REPRO: E02_state_inference_oracle | 1779867996408 | 516 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1588408}
05-27 15:46:36.505  9028  9028 I CT_REPRO: E02_state_inference_oracle | 1779867996505 | 613 | NAVIGATION_ABORTED | 4 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1588504}
05-27 15:46:45.932  9133  9133 I CT_REPRO: E02_state_inference_oracle | 1779868005931 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 15:46:45.981  9133  9133 I CT_REPRO: E02_state_inference_oracle | 1779868005981 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 15:46:47.387  9133  9133 I CT_REPRO: E02_state_inference_oracle | 1779868007387 | 1 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 15:46:47.737  9133  9133 I CT_REPRO: E02_state_inference_oracle | 1779868007737 | 351 | TAB_SHOWN | 5 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1599732}
05-27 15:46:47.808  9133  9133 I CT_REPRO: E02_state_inference_oracle | 1779868007808 | 422 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1599790}
05-27 15:46:47.891  9133  9133 I CT_REPRO: E02_state_inference_oracle | 1779868007890 | 504 | NAVIGATION_ABORTED | 4 | http://198.18.0.1:8000/content/pdf?trial=content_pdf_ok_t3 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1599890}
05-27 15:46:57.393  9238  9238 I CT_REPRO: E02_state_inference_oracle | 1779868017392 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
05-27 15:46:57.468  9238  9238 I CT_REPRO: E02_state_inference_oracle | 1779868017468 | 0 | extraCallback:onWarmupCompleted | 10000 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | bundle={}
05-27 15:46:58.809  9238  9238 I CT_REPRO: E02_state_inference_oracle | 1779868018809 | 1 | LAUNCH_REQUESTED | 0 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | 准备打开 Custom Tab
05-27 15:46:59.220  9238  9238 I CT_REPRO: E02_state_inference_oracle | 1779868019220 | 412 | TAB_SHOWN | 5 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1611204}
05-27 15:46:59.273  9238  9238 I CT_REPRO: E02_state_inference_oracle | 1779868019273 | 465 | NAVIGATION_STARTED | 1 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1611273}
05-27 15:47:00.323  9238  9238 I CT_REPRO: E02_state_inference_oracle | 1779868020323 | 1515 | NAVIGATION_FINISHED | 2 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1612322}
05-27 15:47:05.981  9238  9238 I CT_REPRO: E02_state_inference_oracle | 1779868025981 | 7173 | TAB_HIDDEN | 6 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t1 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | extras={timestampUptimeMillis=1617981}
05-27 15:47:08.187  9417  9417 I CT_REPRO: E02_state_inference_oracle | 1779868028186 | 0 | SERVICE_CONNECTED | 0 | http://198.18.0.1:8000/delay/1000?trial=delay_1000_ok_t2 | com.android.chrome | Android 9 API 28 | 138.0.7204.179 | component=com.android.chrome/org.chromium.chrome.browser.customtabs.CustomTabsConnectionService
